strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,full_kelly_fraction,bet_fraction,raw_stake_before_cap,stake,fee,net_pnl,bankroll_after,drawdown,hit_bet_cap
kelly_50,92,2025-01-04 14:00:00,12623892,1X2,away,2.5,1.0,33461.353883130505,0.02013656073304067,0.010068280366520336,336.8982923387118,336.8982923387118,10.106948770161354,495.2404897379064,33956.594372868414,-0.14038127734500716,False
kelly_50,93,2025-01-04 15:00:00,12409712,HC,home,1.88,1.0,33956.594372868414,0.5599085001650252,0.2799542500825126,9506.292913012445,5000.0,150.0,4249.999999999999,38206.594372868414,-0.03279158412763319,True
kelly_50,94,2025-01-04 15:00:00,12409697,1X2,away,1.58,0.0,33956.594372868414,0.05525962681508166,0.02762981340754083,938.2143664779053,938.2143664779053,28.14643099433716,-966.3607974722424,37240.23357539617,-0.057255222183476936,False
kelly_50,95,2025-01-04 15:00:00,12409699,OU,under,1.97,1.0,33956.594372868414,0.1266305600582625,0.06331528002913125,2149.9712815537864,2149.9712815537864,64.49913844661359,2020.973004660559,39261.20658005673,-0.006093842048882976,False
kelly_50,96,2025-01-04 15:00:00,12409671,HC,home,1.91,1.0,33956.594372868414,0.13985665639372216,0.06992832819686108,2374.5278757536285,2374.5278757536285,71.23583627260885,2089.5845306631927,41350.791110719925,0.0,False
kelly_50,97,2025-01-04 15:00:00,12409697,HC,away,1.93,1.0,33956.594372868414,0.5045239123505639,0.25226195617528197,8565.956921550358,5000.0,150.0,4500.0,45850.79111071992,0.0,True
kelly_50,98,2025-01-04 19:45:00,12623854,1X2,home,2.07,1.0,45850.79111071992,0.030339068688207356,0.015169534344103678,695.5351504583895,695.5351504583895,20.866054513751685,723.3565564767249,46574.147667196645,0.0,False
kelly_50,99,2025-01-04 20:00:00,12425795,HC,home,2.02,1.0,46574.147667196645,0.8422156897401212,0.4211078448700606,19612.73895079314,5000.0,150.0,4950.0,51524.147667196645,0.0,True
kelly_50,100,2025-01-05 11:30:00,12624200,HC,home,1.83,0.0,51524.147667196645,0.06357255678181244,0.03178627839090622,1637.7609016036738,1637.7609016036738,49.132827048110215,-1686.893728651784,49837.25393854486,-0.032739866742633385,False
kelly_50,101,2025-01-05 14:00:00,12425791,HC,away,1.97,1.0,49837.25393854486,0.11959642432790299,0.059798212163951495,2980.178684685833,2980.178684685833,89.40536054057499,2801.3679636046827,52638.62190214954,0.0,False
