strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,stake,fee,net_pnl,cumulative_pnl,bankroll_after,full_kelly_fraction,target_fraction,drawdown
kelly_100,69,2024-12-22 14:00:00,12409801,HC,home,1.97,1.0,4.718193591213718,1.6317669515571271,0.0244765042733569,1.5583374387370563,5.511757139210292,6.511757139210292,0.3458456970896287,0.3458456970896287,0.0
kelly_100,70,2024-12-22 14:00:00,12409798,HC,home,2.02,1.0,4.718193591213718,0.78724288469189,0.0118086432703783,0.7911790991153494,6.302936238325641,7.302936238325641,0.1668526035383338,0.1668526035383338,0.0
kelly_100,71,2024-12-22 14:30:00,12623564,1X2,away,2.55,0.0,7.302936238325641,0.2390883709053565,0.0035863255635803,-0.2426746964689369,6.060261541856704,7.060261541856704,0.0327386633407294,0.0327386633407294,-0.0332297432908404
kelly_100,72,2024-12-22 14:30:00,12623564,1X2,draw,7.8,0.0,7.302936238325641,0.0529646181664496,0.0007944692724967,-0.0537590874389463,6.006502454417758,7.006502454417758,0.0072525100093976,0.0072525100093976,-0.040591040950379
kelly_100,73,2024-12-22 14:30:00,12623564,OU,under,2.05,1.0,7.302936238325641,0.6216680786425759,0.0093250211796386,0.643426461395066,6.649928915812824,7.649928915812824,0.085125771108349,0.085125771108349,0.0
kelly_100,74,2024-12-22 16:30:00,12623185,1X2,away,1.97,0.0,7.649928915812824,0.4645424456819428,0.0069681366852291,-0.4715105823671719,6.178418333445652,7.178418333445652,0.0607250669639175,0.0607250669639175,-0.0616359429683762
kelly_100,75,2024-12-22 16:30:00,12623185,HC,away,1.97,0.0,7.649928915812824,2.202364979513714,0.0330354746927057,-2.2354004542064194,3.943017879239232,4.943017879239232,0.2878935221164349,0.2878935221164349,-0.3538478679165577
kelly_100,76,2024-12-22 17:00:00,12623742,1X2,away,5.8,0.0,4.943017879239232,0.0477127500642082,0.0007156912509631,-0.0484284413151713,3.8945894379240604,4.89458943792406,0.0096525546194365,0.0096525546194365,-0.3601784419451696
kelly_100,77,2024-12-22 17:30:00,12435891,1X2,away,3.1,0.0,4.89458943792406,0.1304182408017482,0.0019562736120262,-0.1323745144137744,3.762214923510286,4.762214923510286,0.0266453892519047,0.0266453892519047,-0.3774824608282927
kelly_100,78,2024-12-22 17:30:00,12412159,1X2,home,3.0,0.0,4.89458943792406,0.1165964055768145,0.0017489460836522,-0.1183453516604667,3.6438695718498204,4.64386957184982,0.0238214884119609,0.0238214884119609,-0.3929525851866825
kelly_100,79,2024-12-22 19:45:00,12624199,1X2,home,3.5,0.0,4.64386957184982,0.1095213521591937,0.0016428202823879,-0.1111641724415816,3.532705399408238,4.532705399408238,0.0235840715301501,0.0235840715301501,-0.4074839845846297
kelly_100,80,2024-12-22 19:45:00,12624199,HC,away,1.92,1.0,4.64386957184982,2.287179525062501,0.0343076928759375,2.069897470181563,5.602602869589801,6.602602869589801,0.492515883505194,0.492515883505194,-0.1369066376627555
kelly_100,81,2024-12-22 20:00:00,12412130,1X2,away,4.05,0.0,6.602602869589801,0.0922228929427277,0.0013833433941409,-0.0936062363368686,5.5089966332529325,6.5089966332529325,0.0139676571140582,0.0139676571140582,-0.14914286068744
kelly_100,82,2024-12-23 17:30:00,12623792,1X2,draw,9.5,0.0,6.5089966332529325,0.040233974153722,0.0006035096123058,-0.0408374837660278,5.468159149486905,6.468159149486905,0.0061812866745353,0.0061812866745353,-0.1544811434630635
